sales_year,product_name,yearly_sales,avg_yearly_sales,variance_from_avg,avg_performance_flag,prior_year_sales,yoy_difference,yoy_trend
2012,All-Purpose Bike Stand,159,13197,-13038,Below Avg,NULL,NULL,No Change
2013,All-Purpose Bike Stand,37683,13197,24486,Above Avg,159,37524,Increase
2014,All-Purpose Bike Stand,1749,13197,-11448,Below Avg,37683,-35934,Decrease
2012,AWC Logo Cap,72,6570,-6498,Below Avg,NULL,NULL,No Change
2013,AWC Logo Cap,18891,6570,12321,Above Avg,72,18819,Increase
2014,AWC Logo Cap,747,6570,-5823,Below Avg,18891,-18144,Decrease
2013,Bike Wash - Dissolver,6960,3636,3324,Above Avg,NULL,NULL,No Change
2014,Bike Wash - Dissolver,312,3636,-3324,Below Avg,6960,-6648,Decrease
2013,Classic Vest- L,11968,6240,5728,Above Avg,NULL,NULL,No Change
2014,Classic Vest- L,512,6240,-5728,Below Avg,11968,-11456,Decrease
2013,Classic Vest- M,11840,6368,5472,Above Avg,NULL,NULL,No Change
2014,Classic Vest- M,896,6368,-5472,Below Avg,11840,-10944,Decrease
2012,Classic Vest- S,64,3648,-3584,Below Avg,NULL,NULL,No Change
2013,Classic Vest- S,10368,3648,6720,Above Avg,64,10304,Increase
2014,Classic Vest- S,512,3648,-3136,Below Avg,10368,-9856,Decrease
2012,Fender Set - Mountain,110,15554,-15444,Below Avg,NULL,NULL,No Change
2013,Fender Set - Mountain,44484,15554,28930,Above Avg,110,44374,Increase
2014,Fender Set - Mountain,2068,15554,-13486,Below Avg,44484,-42416,Decrease
2012,Half-Finger Gloves- L,24,3544,-3520,Below Avg,NULL,NULL,No Change
2013,Half-Finger Gloves- L,10248,3544,6704,Above Avg,24,10224,Increase
2014,Half-Finger Gloves- L,360,3544,-3184,Below Avg,10248,-9888,Decrease
2012,Half-Finger Gloves- M,24,3992,-3968,Below Avg,NULL,NULL,No Change
2013,Half-Finger Gloves- M,11376,3992,7384,Above Avg,24,11352,Increase
2014,Half-Finger Gloves- M,576,3992,-3416,Below Avg,11376,-10800,Decrease
2012,Half-Finger Gloves- S,24,3896,-3872,Below Avg,NULL,NULL,No Change
2013,Half-Finger Gloves- S,11064,3896,7168,Above Avg,24,11040,Increase
2014,Half-Finger Gloves- S,600,3896,-3296,Below Avg,11064,-10464,Decrease
2013,Hitch Rack - 4-Bike,36840,19620,17220,Above Avg,NULL,NULL,No Change
2014,Hitch Rack - 4-Bike,2400,19620,-17220,Below Avg,36840,-34440,Decrease
2012,HL Mountain Tire,140,16286,-16146,Below Avg,NULL,NULL,No Change
2013,HL Mountain Tire,46935,16286,30649,Above Avg,140,46795,Increase
2014,HL Mountain Tire,1785,16286,-14501,Below Avg,46935,-45150,Decrease
2012,HL Road Tire,132,9438,-9306,Below Avg,NULL,NULL,No Change
2013,HL Road Tire,26532,9438,17094,Above Avg,132,26400,Increase
2014,HL Road Tire,1650,9438,-7788,Below Avg,26532,-24882,Decrease
2012,Hydration Pack - 70 oz.,110,13438,-13328,Below Avg,NULL,NULL,No Change
2013,Hydration Pack - 70 oz.,38940,13438,25502,Above Avg,110,38830,Increase
2014,Hydration Pack - 70 oz.,1265,13438,-12173,Below Avg,38940,-37675,Decrease
2013,LL Mountain Tire,20125,10775,9350,Above Avg,NULL,NULL,No Change
2014,LL Mountain Tire,1425,10775,-9350,Below Avg,20125,-18700,Decrease
2012,LL Road Tire,105,7301,-7196,Below Avg,NULL,NULL,No Change
2013,LL Road Tire,20622,7301,13321,Above Avg,105,20517,Increase
2014,LL Road Tire,1176,7301,-6125,Below Avg,20622,-19446,Decrease
2012,Long-Sleeve Logo Jersey- L,150,7550,-7400,Below Avg,NULL,NULL,No Change
2013,Long-Sleeve Logo Jersey- L,21550,7550,14000,Above Avg,150,21400,Increase
2014,Long-Sleeve Logo Jersey- L,950,7550,-6600,Below Avg,21550,-20600,Decrease
2012,Long-Sleeve Logo Jersey- M,50,7366,-7316,Below Avg,NULL,NULL,No Change
2013,Long-Sleeve Logo Jersey- M,20850,7366,13484,Above Avg,50,20800,Increase
2014,Long-Sleeve Logo Jersey- M,1200,7366,-6166,Below Avg,20850,-19650,Decrease
2013,Long-Sleeve Logo Jersey- S,20350,10725,9625,Above Avg,NULL,NULL,No Change
2014,Long-Sleeve Logo Jersey- S,1100,10725,-9625,Below Avg,20350,-19250,Decrease
2013,Long-Sleeve Logo Jersey- XL,19850,10350,9500,Above Avg,NULL,NULL,No Change
2014,Long-Sleeve Logo Jersey- XL,850,10350,-9500,Below Avg,19850,-19000,Decrease
2012,ML Mountain Tire,30,11600,-11570,Below Avg,NULL,NULL,No Change
2013,ML Mountain Tire,32580,11600,20980,Above Avg,30,32550,Increase
2014,ML Mountain Tire,2190,11600,-9410,Below Avg,32580,-30390,Decrease
2012,ML Road Tire,50,7708,-7658,Below Avg,NULL,NULL,No Change
2013,ML Road Tire,22275,7708,14567,Above Avg,50,22225,Increase
2014,ML Road Tire,800,7708,-6908,Below Avg,22275,-21475,Decrease
2012,Mountain Bottle Cage,110,6780,-6670,Below Avg,NULL,NULL,No Change
2013,Mountain Bottle Cage,19530,6780,12750,Above Avg,110,19420,Increase
2014,Mountain Bottle Cage,700,6780,-6080,Below Avg,19530,-18830,Decrease
2012,Mountain Tire Tube,15,5155,-5140,Below Avg,NULL,NULL,No Change
2013,Mountain Tire Tube,14620,5155,9465,Above Avg,15,14605,Increase
2014,Mountain Tire Tube,830,5155,-4325,Below Avg,14620,-13790,Decrease
2011,Mountain-100 Black- 38,165375,165375,0,Avg,NULL,NULL,No Change
2011,Mountain-100 Black- 42,151875,151875,0,Avg,NULL,NULL,No Change
2011,Mountain-100 Black- 44,202500,202500,0,Avg,NULL,NULL,No Change
2010,Mountain-100 Black- 48,3375,96187,-92812,Below Avg,NULL,NULL,No Change
2011,Mountain-100 Black- 48,189000,96187,92813,Above Avg,3375,185625,Increase
2010,Mountain-100 Silver- 38,3400,98600,-95200,Below Avg,NULL,NULL,No Change
2011,Mountain-100 Silver- 38,193800,98600,95200,Above Avg,3400,190400,Increase
2011,Mountain-100 Silver- 42,142800,142800,0,Avg,NULL,NULL,No Change
2010,Mountain-100 Silver- 44,10200,83300,-73100,Below Avg,NULL,NULL,No Change
2011,Mountain-100 Silver- 44,156400,83300,73100,Above Avg,10200,146200,Increase
2011,Mountain-100 Silver- 48,122400,122400,0,Avg,NULL,NULL,No Change
2011,Mountain-200 Black- 38,4098,430853,-426755,Below Avg,NULL,NULL,No Change
2012,Mountain-200 Black- 38,342921,430853,-87932,Below Avg,4098,338823,Increase
2013,Mountain-200 Black- 38,945540,430853,514687,Above Avg,342921,602619,Increase
2012,Mountain-200 Black- 42,392343,681564,-289221,Below Avg,NULL,NULL,No Change
2013,Mountain-200 Black- 42,970785,681564,289221,Above Avg,392343,578442,Increase
2011,Mountain-200 Black- 46,2049,457818,-455769,Below Avg,NULL,NULL,No Change
2012,Mountain-200 Black- 46,423570,457818,-34248,Below Avg,2049,421521,Increase
2013,Mountain-200 Black- 46,947835,457818,490017,Above Avg,423570,524265,Increase
2012,Mountain-200 Silver- 38,371954,669697,-297743,Below Avg,NULL,NULL,No Change
2013,Mountain-200 Silver- 38,967440,669697,297743,Above Avg,371954,595486,Increase
2011,Mountain-200 Silver- 42,2071,419122,-417051,Below Avg,NULL,NULL,No Change
2012,Mountain-200 Silver- 42,352817,419122,-66305,Below Avg,2071,350746,Increase
2013,Mountain-200 Silver- 42,902480,419122,483358,Above Avg,352817,549663,Increase
2012,Mountain-200 Silver- 46,377669,649354,-271685,Below Avg,NULL,NULL,No Change
2013,Mountain-200 Silver- 46,921040,649354,271686,Above Avg,377669,543371,Increase
2013,Mountain-400-W Silver- 38,113812,113812,0,Avg,NULL,NULL,No Change
2012,Mountain-400-W Silver- 40,769,49216,-48447,Below Avg,NULL,NULL,No Change
2013,Mountain-400-W Silver- 40,97663,49216,48447,Above Avg,769,96894,Increase
2013,Mountain-400-W Silver- 42,99201,99201,0,Avg,NULL,NULL,No Change
2013,Mountain-400-W Silver- 46,106122,106122,0,Avg,NULL,NULL,No Change
2012,Mountain-500 Black- 40,540,12960,-12420,Below Avg,NULL,NULL,No Change
2013,Mountain-500 Black- 40,25380,12960,12420,Above Avg,540,24840,Increase
2013,Mountain-500 Black- 42,26460,26460,0,Avg,NULL,NULL,No Change
2013,Mountain-500 Black- 44,31320,31320,0,Avg,NULL,NULL,No Change
2013,Mountain-500 Black- 48,30240,30240,0,Avg,NULL,NULL,No Change
2013,Mountain-500 Black- 52,22140,22140,0,Avg,NULL,NULL,No Change
2013,Mountain-500 Silver- 40,25425,25425,0,Avg,NULL,NULL,No Change
2013,Mountain-500 Silver- 42,25425,25425,0,Avg,NULL,NULL,No Change
2012,Mountain-500 Silver- 44,565,11017,-10452,Below Avg,NULL,NULL,No Change
2013,Mountain-500 Silver- 44,21470,11017,10453,Above Avg,565,20905,Increase
2013,Mountain-500 Silver- 48,28250,28250,0,Avg,NULL,NULL,No Change
2013,Mountain-500 Silver- 52,27120,27120,0,Avg,NULL,NULL,No Change
2012,Patch Kit/8 Patches,8,2126,-2118,Below Avg,NULL,NULL,No Change
2013,Patch Kit/8 Patches,6048,2126,3922,Above Avg,8,6040,Increase
2014,Patch Kit/8 Patches,322,2126,-1804,Below Avg,6048,-5726,Decrease
2012,Racing Socks- L,18,810,-792,Below Avg,NULL,NULL,No Change
2013,Racing Socks- L,2340,810,1530,Above Avg,18,2322,Increase
2014,Racing Socks- L,72,810,-738,Below Avg,2340,-2268,Decrease
2013,Racing Socks- M,2529,1341,1188,Above Avg,NULL,NULL,No Change
2014,Racing Socks- M,153,1341,-1188,Below Avg,2529,-2376,Decrease
2012,Road Bottle Cage,81,5133,-5052,Below Avg,NULL,NULL,No Change
2013,Road Bottle Cage,15237,5133,10104,Above Avg,81,15156,Increase
2014,Road Bottle Cage,81,5133,-5052,Below Avg,15237,-15156,Decrease
2012,Road Tire Tube,28,3166,-3138,Below Avg,NULL,NULL,No Change
2013,Road Tire Tube,8888,3166,5722,Above Avg,28,8860,Increase
2014,Road Tire Tube,584,3166,-2582,Below Avg,8888,-8304,Decrease
2010,Road-150 Red- 44,3578,502709,-499131,Below Avg,NULL,NULL,No Change
2011,Road-150 Red- 44,1001840,502709,499131,Above Avg,3578,998262,Increase
2010,Road-150 Red- 48,7156,602893,-595737,Below Avg,NULL,NULL,No Change
2011,Road-150 Red- 48,1198630,602893,595737,Above Avg,7156,1191474,Increase
2010,Road-150 Red- 52,3578,540278,-536700,Below Avg,NULL,NULL,No Change
2011,Road-150 Red- 52,1076978,540278,536700,Above Avg,3578,1073400,Increase
2010,Road-150 Red- 56,3578,527755,-524177,Below Avg,NULL,NULL,No Change
2011,Road-150 Red- 56,1051932,527755,524177,Above Avg,3578,1048354,Increase
2010,Road-150 Red- 62,7156,601104,-593948,Below Avg,NULL,NULL,No Change
2011,Road-150 Red- 62,1195052,601104,593948,Above Avg,7156,1187896,Increase
2011,Road-250 Black- 44,6546,209461,-202915,Below Avg,NULL,NULL,No Change
2012,Road-250 Black- 44,279818,209461,70357,Above Avg,6546,273272,Increase
2013,Road-250 Black- 44,342020,209461,132559,Above Avg,279818,62202,Increase
2012,Road-250 Black- 48,310105,345606,-35501,Below Avg,NULL,NULL,No Change
2013,Road-250 Black- 48,381108,345606,35502,Above Avg,310105,71003,Increase
2011,Road-250 Black- 52,4364,244808,-240444,Below Avg,NULL,NULL,No Change
2012,Road-250 Black- 52,378269,244808,133461,Above Avg,4364,373905,Increase
